,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada’s Secondary Energy Use (Final Demand) and GHG Emissions by Energy Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total Growth 1990–2017,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Total Energy Use (PJ)a,b,c","6,957.2","6,844.1","6,942.3","7,066.6","7,334.3","7,547.1","7,678.7","7,799.7","7,615.0","7,801.5","8,090.5","7,848.2","8,111.7","8,291.5","8,525.7","8,464.8","8,338.9","8,745.0","8,604.9","8,343.0","8,493.7","8,837.1","8,806.7","9,008.7","9,134.4","9,113.7","8,884.6","9,089.5",30.6%,,
,Energy Use by Energy Source (PJ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Electricity,"1,428.6","1,445.5","1,467.6","1,499.1","1,517.2","1,544.2","1,557.6","1,572.9","1,559.8","1,597.4","1,648.9","1,648.9","1,697.0","1,729.2","1,736.8","1,772.7","1,747.6","1,795.3","1,785.2","1,713.5","1,738.5","1,771.4","1,756.9","1,781.7","1,792.8","1,792.7","1,801.2","1,811.8",26.8%,,
,Natural Gas,"1,777.6","1,781.3","1,822.9","1,884.8","1,943.4","1,992.9","2,082.0","2,100.9","1,929.5","1,996.9","2,140.8","1,949.3","2,098.6","2,146.7","2,122.3","2,077.5","2,005.2","2,228.9","2,246.7","2,192.1","2,205.7","2,478.4","2,456.6","2,621.4","2,759.5","2,725.6","2,582.2","2,742.0",54.3%,,
,Motor Gasoline1,"1,176.5","1,137.6","1,153.6","1,179.2","1,212.6","1,219.6","1,236.2","1,262.8","1,299.0","1,328.4","1,329.1","1,346.1","1,385.9","1,407.0","1,433.7","1,429.8","1,432.7","1,476.3","1,461.4","1,480.1","1,520.1","1,505.4","1,508.4","1,549.7","1,520.7","1,555.6","1,612.9","1,592.0",35.3%,,
,Oil2,"1,202.2","1,123.2","1,109.1","1,137.5","1,192.0","1,179.9","1,233.9","1,276.1","1,256.1","1,277.5","1,336.4","1,313.8","1,276.7","1,375.1","1,436.8","1,438.2","1,385.3","1,471.3","1,449.3","1,363.5","1,431.5","1,462.6","1,420.2","1,425.0","1,411.4","1,382.9","1,297.5","1,309.3",8.9%,,
,Aviation Gasoline,5.5,4.2,3.8,3.7,3.7,4.2,4.1,3.8,3.9,3.6,3.6,3.5,3.4,3.1,2.9,3.3,3.0,3.1,3.0,2.9,2.6,2.1,2.6,2.2,1.9,2.2,2.3,2.3,-59.1%,,
,Aviation Turbo Fuel,181.9,163.3,169.0,161.7,170.8,183.9,209.0,213.7,222.5,233.1,236.5,215.3,216.7,214.8,240.0,254.7,253.5,256.7,241.3,218.0,226.4,230.1,261.9,273.1,267.9,273.2,280.8,288.8,58.7%,,
,Still Gas and Petroleum Coke,309.9,303.4,333.5,341.7,347.6,412.0,394.7,389.8,386.5,370.0,375.9,414.7,437.6,437.7,480.8,469.8,506.6,524.1,471.4,510.0,498.4,498.0,494.8,473.3,468.4,477.3,471.5,482.6,55.7%,,
