Total Energy Use (PJ)a,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total Growth 1990–2017
,745.6,765.9,785.2,816.0,806.9,840.4,837.3,863.6,810.4,849.1,931.9,913.8,970.9,"1,001.9",981.9,957.3,903.3,949.4,957.8,950.0,937.7,983.8,947.2,968.6,"1,016.2","1,007.9","1,002.6","1,030.2",38.2%
Electricity,268.6,275.0,281.5,290.9,288.7,300.8,294.7,302.1,299.5,308.4,318.1,313.6,340.7,352.8,349.8,350.4,347.8,374.9,380.1,375.2,393.3,404.9,404.8,401.7,412.9,426.6,424.5,429.7,59.9%
Natural Gas,387.1,403.4,416.6,433.1,420.2,427.6,439.4,452.7,417.3,443.0,504.1,488.0,517.2,525.1,514.1,504.9,468.5,482.3,496.8,510.6,480.2,505.4,466.1,493.1,528.3,507.0,510.2,531.3,37.2%
Light Fuel Oil and Kerosene,62.0,58.1,56.9,57.7,52.4,61.2,59.7,57.3,47.2,46.5,55.7,53.9,57.0,56.5,58.5,44.7,34.2,34.2,25.0,18.2,19.7,22.7,18.3,32.0,34.6,33.6,26.2,26.4,-57.4%
Heavy Fuel Oil,11.4,11.0,11.5,11.2,11.9,8.6,9.0,11.8,16.5,16.6,18.0,21.9,20.5,35.0,25.4,24.7,20.3,19.9,15.2,11.2,8.0,10.8,12.0,3.6,3.8,2.8,1.5,1.0,-91.1%
Steam,0.2,0.0,0.0,0.3,0.4,0.4,0.4,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.5,2.6,2.6,3.8,3.8,1.5,0.0,0.0,0.0,0.3,0.5,2.3,2.0,1.4,622.0%
Other1,16.3,18.4,18.6,22.8,33.3,41.8,34.2,39.1,29.5,34.2,35.9,36.0,35.1,32.1,33.6,30.2,29.9,34.2,37.0,33.3,36.5,40.0,45.9,37.9,36.0,35.8,38.2,40.4,148.3%
Energy Use by End Use (PJ)b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space Heating,463.6,470.2,484.0,509.0,498.1,526.3,531.8,536.5,484.7,517.0,594.3,565.5,598.3,612.3,594.8,565.1,515.5,544.7,548.0,543.0,514.0,550.3,510.6,548.9,589.4,565.2,561.1,582.7,25.7%
Water Heating,42.9,45.7,46.0,46.2,46.2,46.1,43.3,53.6,51.3,50.6,55.8,54.4,52.2,55.6,56.8,55.7,55.5,58.4,57.8,56.8,57.7,59.5,58.8,58.7,58.7,58.9,58.7,58.4,36.1%
Auxiliary Equipment,49.8,50.1,55.4,55.0,55.0,57.8,59.5,65.2,63.8,66.1,73.2,77.3,82.7,90.0,92.6,94.8,99.1,103.4,110.2,119.5,121.3,124.0,122.9,126.8,130.2,138.2,146.2,153.2,208.0%
Auxiliary Motors,48.7,53.4,56.7,56.2,56.7,55.4,55.0,53.9,52.0,50.0,50.8,47.8,50.8,53.8,53.0,47.0,46.2,47.3,50.1,48.9,45.5,48.8,48.2,46.7,46.2,42.6,39.0,39.2,-19.4%
Lighting,101.5,106.5,111.8,111.9,112.6,114.7,113.0,114.5,112.4,114.6,113.7,114.5,118.7,124.3,124.7,123.6,126.5,130.9,132.4,135.1,137.7,138.7,138.7,136.4,138.9,141.5,133.9,138.9,36.9%
Space Cooling,30.3,31.4,22.9,29.3,30.3,32.4,27.2,32.3,38.7,44.8,37.2,46.7,60.5,58.0,52.2,62.9,52.3,55.6,50.6,39.5,54.0,55.0,60.5,43.5,45.3,54.6,56.5,50.6,67.1%
Street Lightingf,8.9,8.7,8.4,8.3,8.0,7.8,7.5,7.4,7.5,6.1,6.9,7.7,7.8,7.8,7.8,8.3,8.1,9.0,8.6,7.1,7.5,7.6,7.5,7.6,7.6,7.0,7.1,7.0,-21.2%
Energy Use by Activity Type2 (PJ)b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wholesale Trade,51.8,52.5,53.0,54.9,53.7,55.4,54.8,55.9,51.8,54.0,59.2,57.6,60.3,61.7,60.1,56.9,53.2,55.8,55.8,55.0,53.2,55.3,52.7,52.8,55.3,53.9,53.3,54.2,4.6%
Retail Trade,124.4,127.1,129.2,134.3,132.2,136.8,135.7,139.9,131.9,138.9,152.3,150.0,158.4,164.0,163.1,158.6,150.7,159.4,161.3,159.6,155.5,162.2,155.9,156.5,163.8,160.3,158.3,161.6,29.9%
Transportation and Warehousing,44.8,45.1,45.3,46.6,45.2,46.5,46.1,46.0,41.8,42.9,46.8,44.6,46.0,46.6,44.5,41.3,38.0,39.4,39.4,38.1,37.3,38.9,36.6,37.0,38.7,37.3,36.7,37.4,-16.4%
Information and Cultural Industries,14.0,14.6,15.2,15.9,15.9,16.7,16.6,17.4,16.6,17.6,19.6,19.3,20.5,21.4,20.9,19.8,18.7,19.7,19.7,20.0,19.8,20.6,19.9,19.7,20.7,20.4,20.3,20.8,48.5%
Offices3,232.1,241.2,249.9,261.7,259.5,271.3,271.3,280.8,265.2,281.3,309.7,303.4,326.8,338.1,329.7,332.1,312.3,329.0,335.4,332.8,327.6,344.3,329.8,343.9,357.5,354.1,350.1,361.3,55.7%
Educational Services,94.6,97.4,99.8,103.3,102.3,107.0,107.2,111.0,103.5,108.2,119.1,117.3,124.3,128.9,126.6,120.8,113.0,117.7,117.5,116.9,117.0,123.3,119.4,120.3,127.0,127.0,127.9,131.2,38.7%
Health Care and Social Assistance,88.4,90.1,92.9,95.8,95.5,99.8,99.3,103.5,97.0,101.1,109.8,108.3,114.6,117.2,115.2,111.0,106.1,111.1,111.1,111.2,111.6,117.8,116.0,121.1,130.4,132.1,133.1,137.8,55.8%
"Arts, Entertainment and Recreation",16.3,17.0,17.8,18.8,18.9,20.6,20.7,21.4,20.0,20.9,23.1,22.5,23.7,24.5,23.7,22.9,21.7,23.2,23.1,23.4,23.3,24.4,23.5,23.8,25.0,24.7,24.4,24.9,52.4%
Accommodation and Food Services,54.0,55.7,56.7,59.1,58.6,60.8,60.3,62.4,58.5,60.8,66.5,64.9,69.3,72.1,71.3,68.0,65.1,68.1,69.2,69.6,69.1,72.9,70.3,70.6,74.1,75.7,76.2,78.6,45.5%
Other Services,16.3,16.6,16.9,17.3,17.1,17.6,17.5,18.0,16.6,17.2,18.8,18.4,19.2,19.6,19.0,17.8,16.4,16.9,16.7,16.3,15.8,16.4,15.5,15.4,16.0,15.5,15.2,15.4,-5.5%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Floor Space (million m2)c,509.9,525.6,537.4,546.3,552.5,558.7,564.7,573.1,581.9,591.5,601.1,610.2,620.8,631.2,642.6,654.2,667.3,679.7,693.2,703.8,713.9,721.6,732.1,739.0,743.3,747.5,750.1,754.3,47.9%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energy Intensity2 (GJ/m2)a,c",1.44,1.44,1.45,1.48,1.45,1.49,1.47,1.49,1.38,1.43,1.54,1.48,1.55,1.57,1.52,1.45,1.34,1.38,1.37,1.34,1.30,1.35,1.28,1.30,1.36,1.34,1.33,1.36,-6.1%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heating Degree-Day Indexb,d",0.92,0.93,0.99,1.01,0.98,0.98,1.04,0.98,0.84,0.88,0.96,0.88,0.93,0.96,0.95,0.92,0.85,0.93,0.95,0.96,0.87,0.90,0.84,0.93,0.98,0.92,0.89,0.92,–
"Cooling Degree-Day Indexb,e",1.05,1.36,0.54,1.00,0.99,1.18,0.94,0.93,1.31,1.54,0.91,1.43,1.73,1.32,0.95,1.79,1.38,1.45,1.08,0.93,1.59,1.51,1.70,1.18,1.11,1.37,1.79,1.37,–
